Year,pretermbirthdeaths,birthasphyxiaandtraumadeaths,otherneonataldisorders,lowerrespiratoryinfections,congenitalbirthdefects
1995,1130000,758000,488000,483000,306000
1996,1100000,752000,483000,467000,302000
1997,1080000,752000,482000,455000,301000
1998,1060000,750000,481000,443000,299000
1999,1040000,746000,477000,429000,297000
2000,1010000,743000,471000,416000,295000
2001,982000,739000,465000,402000,294000
2002,956000,734000,458000,388000,292000
2003,934000,731000,455000,378000,291000
2004,908000,723000,450000,366000,289000
2005,885000,714000,444000,355000,286000
