Year,pretermbirthdeaths,birthasphyxiaandtraumadeaths,SexuallytransmittednfectionsDeaths,Diarrhealdiseasesdeaths,Hemolyticdiseaseandotherneonataljaundicedeaths
1995,1130000,758000,91300,123000,105000
1996,1100000,752000,91100,117000,101000
1997,1080000,752000,91300,112000,98000
1998,1060000,750000,91300,109000,95400
1999,1040000,746000,90800,105000,92800
2000,1010000,743000,90400,101000,90600
2001,982000,739000,89800,96700,88200
2002,956000,734000,89100,92900,85500
2003,934000,731000,88600,89600,83400
2004,908000,723000,88100,86500,80800
2005,885000,714000,87700,83200,77900
