Year,pretermbirthdeaths,birthasphyxiaandtraumadeaths,otherneonataldisorders,lowerrespiratoryinfections,congenitalbirthdefects
1995,1130000,758000,488000,483000,306000
1996,1100000,752000,483000,467000,302000
1997,1080000,752000,482000,455000,301000
1998,1060000,750000,481000,443000,299000
1999,1040000,746000,477000,429000,297000
2000,1010000,743000,471000,416000,295000
2001,982000,739000,465000,402000,294000
2002,956000,734000,458000,388000,292000
2003,934000,731000,455000,378000,291000
2004,908000,723000,450000,366000,289000
2005,885000,714000,444000,355000,286000
2006,863000,700000,438000,344000,282000
2007,844000,684000,431000,333000,279000
2008,826000,668000,424000,322000,276000
2009,811000,653000,414000,311000,273000
2010,795000,637000,406000,302000,270000
2011,777000,620000,397000,292000,266000
2012,758000,603000,387000,281000,262000
2013,733000,587000,376000,267000,258000
2014,706000,572000,363000,255000,254000
2015,680000,554000,352000,243000,250000
2016,657695.2381,573038.0952,352000,229923.8095,252442.8571
2017,635762.7706,562708.2251,355587.8788,218219.9134,249755.8442
2018,613830.303,552378.355,348942.4242,206516.0173,247068.8312
2019,591897.8355,542048.4848,342296.9697,194812.1212,244381.8182
2020,569965.368,531718.6147,335651.5152,183108.2251,241694.8052
2021,548032.9004,521388.7446,329006.0606,171404.329,239007.7922
2022,526100.4329,511058.8745,322360.6061,159700.4329,236320.7792
2023,504167.9654,500729.0043,315715.1515,147996.5368,233633.7662
2024,482235.4978,490399.1342,309069.697,136292.6407,230946.7532
2025,460303.0303,480069.2641,302424.2424,124588.7446,228259.7403
2026,438370.5628,469739.3939,295778.7879,112884.8485,225572.7273
2027,416438.0952,459409.5238,289133.3333,101180.9524,222885.7143
2028,394505.6277,449079.6537,282487.8788,89477.05628,220198.7013
2029,372573.1602,438749.7835,275842.4242,77773.16017,217511.6883
2030,350640.6926,428419.9134,269196.9697,66069.26407,214824.6753
2031,328708.2251,418090.0433,262551.5152,54365.36797,212137.6623
2032,306775.7576,407760.1732,255906.0606,0,209450.6494
2033,284843.29,397430.303,249260.6061,,206763.6364
2034,262910.8225,387100.4329,242615.1515,,204076.6234
2035,240978.355,376770.5628,235969.697,,201389.6104
2036,219045.8874,366440.6926,229324.2424,,198702.5974
2037,197113.4199,356110.8225,222678.7879,,196015.5844
2038,175180.9524,345780.9524,216033.3333,,193328.5714
2039,153248.4848,335451.0823,209387.8788,,190641.5584
2040,131316.0173,325121.2121,202742.4242,,187954.5455
2041,109383.5498,314791.342,196096.9697,,185267.5325
2042,87451.08225,304461.4719,189451.5152,,182580.5195
2043,65518.61472,294131.6017,182806.0606,,179893.5065
2044,43586.14719,283801.7316,176160.6061,,177206.4935
2045,21653.67965,273471.8615,169515.1515,,174519.4805
2046,0,263141.9913,162869.697,,171832.4675
2047,,252812.1212,156224.2424,,169145.4545
2048,,242482.2511,149578.7879,,166458.4416
2049,,232152.381,142933.3333,,163771.4286
2050,,221822.5108,136287.8788,,161084.4156
2051,,211492.6407,129642.4242,,158397.4026
2052,,201162.7706,122996.9697,,155710.3896
2053,,190832.9004,116351.5152,,153023.3766
2054,,180503.0303,109706.0606,,150336.3636
2055,,170173.1602,103060.6061,,147649.3506
2056,,159843.29,96415.15152,,144962.3377
2057,,149513.4199,89769.69697,,142275.3247
2058,,139183.5498,83124.24242,,139588.3117
2059,,128853.6797,76478.78788,,136901.2987
2060,,118523.8095,69833.33333,,134214.2857
2061,,108193.9394,63187.87879,,131527.2727
2062,,97864.06926,56542.42424,,128840.2597
2063,,87534.19913,49896.9697,,126153.2468
2064,,77204.329,43251.51515,,123466.2338
2065,,66874.45887,36606.06061,,120779.2208
2066,,56544.58874,29960.60606,,118092.2078
2067,,46214.71861,23315.15152,,115405.1948
2068,,35884.84848,16669.69697,,112718.1818
2069,,25554.97835,10024.24242,,110031.1688
2070,,15225.10823,3378.787879,,107344.1558
2071,,4895.238095,0,,104657.1429
2072,,0,,,101970.1299
2073,,,,,99283.11688
2074,,,,,96596.1039
2075,,,,,93909.09091
2076,,,,,91222.07792
2077,,,,,88535.06494
2078,,,,,85848.05195
2079,,,,,83161.03896
2080,,,,,80474.02597
2081,,,,,77787.01299
2082,,,,,75100
2083,,,,,72412.98701
2084,,,,,69725.97403
2085,,,,,67038.96104
2086,,,,,64351.94805
2087,,,,,61664.93506
2088,,,,,58977.92208
2089,,,,,56290.90909
2090,,,,,53603.8961
2091,,,,,50916.88312
2092,,,,,48229.87013
2093,,,,,45542.85714
2094,,,,,42855.84416
2095,,,,,40168.83117
2096,,,,,37481.81818
2097,,,,,34794.80519
2098,,,,,32107.79221
2099,,,,,29420.77922
2100,,,,,26733.76623
2101,,,,,24046.75325
2102,,,,,21359.74026
2103,,,,,18672.72727
2104,,,,,15985.71429
2105,,,,,13298.7013
2106,,,,,10611.68831
2107,,,,,7924.675325
2108,,,,,5237.662338
2109,,,,,2550.649351
2110,,,,,0
