Year,pretermbirthdeaths ,birthasphyxiaandtraumadeaths,otherneonataldisorders,lowerrespiratoryinfections,congenitalbirthdefects
2016,657695.2381,573038.0952,352000,229923.8095,51104.28571
2017,635762.7706,562708.2251,355587.8788,218219.9134,48620.25974
2018,613830.303,552378.355,348942.4242,206516.0173,46136.23377
2019,591897.8355,542048.4848,342296.9697,194812.1212,43652.20779
2020,569965.368,531718.6147,335651.5152,183108.2251,41168.18182
2021,548032.9004,521388.7446,329006.0606,171404.329,38684.15584
2022,526100.4329,511058.8745,322360.6061,159700.4329,36200.12987
2023,504167.9654,500729.0043,315715.1515,147996.5368,33716.1039
2024,482235.4978,490399.1342,309069.697,136292.6407,31232.07792
2025,460303.0303,480069.2641,302424.2424,124588.7446,28748.05195
2026,438370.5628,469739.3939,295778.7879,112884.8485,26264.02597
2027,416438.0952,459409.5238,289133.3333,101180.9524,23780
2028,394505.6277,449079.6537,282487.8788,89477.05628,21295.97403
2029,372573.1602,438749.7835,275842.4242,77773.16017,18811.94805
2030,350640.6926,428419.9134,269196.9697,66069.26407,16327.92208
2031,328708.2251,418090.0433,262551.5152,54365.36797,13843.8961
2032,306775.7576,407760.1732,255906.0606,0,11359.87013
2033,284843.29,397430.303,249260.6061,,8875.844156
2034,262910.8225,387100.4329,242615.1515,,6391.818182
2035,240978.355,376770.5628,235969.697,,3907.792208
2036,219045.8874,366440.6926,229324.2424,,1423.766234
2037,197113.4199,356110.8225,222678.7879,,0
2038,175180.9524,345780.9524,216033.3333,,
2039,153248.4848,335451.0823,209387.8788,,
2040,131316.0173,325121.2121,202742.4242,,
2041,109383.5498,314791.342,196096.9697,,
2042,87451.08225,304461.4719,189451.5152,,
2043,65518.61472,294131.6017,182806.0606,,
2044,43586.14719,283801.7316,176160.6061,,
2045,21653.67965,273471.8615,169515.1515,,
2046,0,263141.9913,162869.697,,
2047,,252812.1212,156224.2424,,
2048,,242482.2511,149578.7879,,
2049,,232152.381,142933.3333,,
2050,,221822.5108,136287.8788,,
2051,,211492.6407,129642.4242,,
2052,,201162.7706,122996.9697,,
2053,,190832.9004,116351.5152,,
2054,,180503.0303,109706.0606,,
2055,,170173.1602,103060.6061,,
2056,,159843.29,96415.15152,,
2057,,149513.4199,89769.69697,,
2058,,139183.5498,83124.24242,,
2059,,128853.6797,76478.78788,,
2060,,118523.8095,69833.33333,,
2061,,108193.9394,63187.87879,,
2062,,97864.06926,56542.42424,,
2063,,87534.19913,49896.9697,,
2064,,77204.329,43251.51515,,
2065,,66874.45887,36606.06061,,
2066,,56544.58874,29960.60606,,
2067,,46214.71861,23315.15152,,
2068,,35884.84848,16669.69697,,
2069,,25554.97835,10024.24242,,
2070,,15225.10823,3378.787879,,
2071,,4895.238095,0,,
2072,,0,,,
